pop1,pop2,prpshrd
9,16,0.2388391
9,17,0.2372838
9,18,0.2428984
9,19,0.2249977
9,20,0.2311589
9,21,0.1867848
9,22,0.2227488
9,23,0.2208129
9,24,0.2242693
9,25,0.2327872
9,26,0.2329663
9,27,0.2352339
9,28,0.2276803
9,29,0.2138451
9,31,0.2383552
9,32,0.2339258
9,33,0.2241215
9,34,0.2367609
9,35,0.2172191
9,36,0.2351832
9,37,0.2213608
9,38,0.23836
9,39,0.2318466
9,40,0.2311634
9,41,0.2471292
9,42,0.2265542
9,43,0.238173
9,44,0.2314069
9,45,0.1801248
9,46,0.2379899
9,47,0.2319009
9,48,0.2400299
9,49,0.2419472
9,50,0.2273635
9,51,0.2289978
9,52,0.237685
9,53,0.2445775
9,54,0.2342564
9,55,0.239721
9,56,0.2402775
9,57,0.2401983
9,58,0.246757
9,59,0.2413897
9,60,0.2455997
9,61,0.2077397
9,62,0.2416774
9,63,0.2360921
9,64,0.2388215
9,65,0.2359803
9,66,0.2364705
9,67,0.2485014
9,68,0.23649
9,69,0.2201482
9,70,0.1869822
9,71,0.1267927
9,72,0.2400235
9,73,0.2347939
9,74,0.2325165
9,75,0.2381893
9,76,0.2397072
9,78,0.2242978
10,11,0.2253479
10,12,0.2331026
10,13,0.2221627
10,14,0.2433693
10,15,0.2458726
10,16,0.2283134
10,17,0.2338795
10,18,0.2428548
10,19,0.2497167
10,20,0.2353124
10,21,0.2453559
10,22,0.2368388
10,23,0.22414
10,24,0.2388578
10,25,0.2344157
10,26,0.2266298
10,27,0.2476553
10,28,0.2279085
10,29,0.2284953
10,31,0.2442985
10,32,0.2173565
10,33,0.2344427
10,34,0.21008
10,35,0.2281146
10,36,0.2384308
10,37,0.2210692
10,38,0.21875
10,39,0.2242483
10,40,0.2252841
10,41,0.2340453
10,42,0.2248453
10,43,0.2341998
10,44,0.2338849
10,45,0.2347014
10,46,0.2340499
10,47,0.2318512
10,48,0.2366012
10,49,0.2285556
10,50,0.2364028
10,51,0.2419174
10,52,0.2405106
10,53,0.2483085
10,54,0.2354202
10,55,0.2411323
10,56,0.244571
10,57,0.2414044
10,58,0.2440046
10,59,0.2452046
10,60,0.2480635
10,61,0.2456928
10,62,0.236168
10,63,0.251497
10,64,0.247603
10,65,0.2362079
10,66,0.2409277
10,67,0.2481335
10,68,0.239828
10,69,0.2459304
10,70,0.2373351
10,71,0.242896
10,72,0.2415483
10,73,0.2359011
10,74,0.2313036
10,75,0.237085
10,76,0.232605
10,78,0.2312156
11,12,0.2078098
11,13,0.223187
11,14,0.2366896
11,15,0.2296187
11,16,0.22692
11,17,0.236225
11,18,0.2424146
11,19,0.2308124
11,20,0.2243277
11,21,0.240623
11,22,0.1829806
11,23,0.2248306
11,24,0.217579
11,25,0.2260082
11,26,0.2292142
11,27,0.2366008
11,28,0.2304482
11,29,0.2227723
11,31,0.230851
11,32,0.2231597
11,33,0.2303393
11,34,0.2270316
11,35,0.2292937
11,36,0.2232438
11,37,0.225466
11,38,0.232809
11,39,0.2393058
11,40,0.2367459
11,41,0.2338168
11,42,0.144895
11,43,0.2407221
11,44,0.2259807
11,45,0.2324792
11,46,0.2488994
11,47,0.2272145
11,48,0.2363913
11,49,0.2354461
11,50,0.2176516
11,51,0.2331265
11,52,0.2307336
11,53,0.2438766
11,54,0.2394619
11,55,0.2479766
11,56,0.232531
11,57,0.2347145
11,58,0.2383132
11,59,0.2328557
11,60,0.2402172
11,61,0.2338355
11,62,0.2317145
11,63,0.239928
11,64,0.2325536
11,65,0.2331948
11,66,0.2378078
11,67,0.2432917
11,68,0.2341181
11,69,0.2271413
11,70,0.2221706
11,71,0.2325049
11,72,0.2448641
11,73,0.2299103
11,74,0.233432
11,75,0.2293645
11,76,0.2396974
11,78,0.2250845
12,13,0.200366
12,14,0.2302248
12,15,0.2276856
12,16,0.2256289
12,17,0.2358294
12,18,0.240027
12,19,0.216713
12,20,0.2127521
12,21,0.2087598
12,22,0.1801658
12,23,0.2136082
12,24,0.1493858
12,25,0.2204031
12,26,0.2218958
12,27,0.2298395
12,28,0.2180642
12,29,0.2261255
12,31,0.2328949
12,32,0.2191036
12,33,0.2367172
12,34,0.2134674
12,35,0.2288998
12,36,0.2305511
12,37,0.2252382
12,38,0.2289501
12,39,0.2122199
12,40,0.2287302
12,41,0.2344877
12,42,0.2051701
12,43,0.2372173
12,44,0.2166997
12,45,0.2242121
12,46,0.2447934
12,47,0.2277015
12,48,0.2404146
12,49,0.2341221
12,50,0.2249538
12,51,0.2343719
12,52,0.2367047
12,53,0.2440215
12,54,0.2408262
12,55,0.2397654
12,56,0.2368245
12,57,0.2331518
12,58,0.2377176
12,59,0.1868478
12,60,0.2373517
12,61,0.2400656
12,62,0.2254914
12,63,0.2371151
12,64,0.2311612
12,65,0.218468
12,66,0.232119
12,67,0.2454545
12,68,0.2362257
12,69,0.2278406
12,70,0.1392104
12,71,0.2146266
12,72,0.2333463
12,73,0.2342282
12,74,0.2282217
12,75,0.2307506
12,76,0.2383481
12,78,0.1336527
13,14,0.2280055
13,15,0.22429
13,16,0.2119891
13,17,0.1373679
13,18,0.2267955
13,19,0.2282956
13,20,0.2161081
13,21,0.2228709
13,22,0.1793254
13,23,0.2016139
13,24,0.2098782
13,25,0.2214467
13,26,0.2067015
13,27,0.1473657
13,28,0.2115311
13,29,0.1989937
13,31,0.2210374
13,32,0.2135987
13,33,0.2239801
